Zeitstempel,Marktstatus,SPY_mark,Cash,Depotwert,Benchmark,Positionen
2026-08-04 13:39 ET,OFFEN,771.88,-6.17,9441.32,10281.86,LONG TRMB@59.12 / LONG GRMN@308.08 / LONG WTW@336.96 / LONG MSFT@494.88 / LONG CHTR@150.34 / LONG ZBRA@356.15 / LONG AMZN@278.59 / LONG ORCL@148.36 / LONG FSLR@244.98 / LONG GOOGL@378.04 / LONG GOOG@375.31 / LONG CRWD@209.62 / LONG DXCM@87.12 / LONG CMG@35.50
2026-08-04 15:23 ET,OFFEN,772.73,549.20,9443.43,10293.19,LONG TRMB@59.65 / LONG GRMN@309.04 / LONG WTW@338.52 / LONG CHTR@151.53 / LONG ZBRA@361.00 / LONG AMZN@277.14 / LONG ORCL@147.27 / LONG FSLR@244.94 / LONG GOOGL@379.53 / LONG GOOG@376.80 / LONG CRWD@211.15 / LONG DXCM@86.73 / LONG CMG@34.13
2026-08-04 17:05 ET,NACH-SCHLUSS,767.34,549.20,9374.67,10221.45,LONG TRMB@58.65 / LONG GRMN@302.18 / LONG WTW@339.60 / LONG CHTR@146.00 / LONG ZBRA@348.89 / LONG AMZN@276.78 / LONG ORCL@143.95 / LONG FSLR@233.67 / LONG GOOGL@376.53 / LONG GOOG@374.13 / LONG CRWD@210.02 / LONG DXCM@87.07 / LONG CMG@37.15
2026-08-05 11:10 ET,OFFEN,773.67,-7.19,9387.56,10305.64,LONG GRMN@306.61 / LONG WTW@340.35 / LONG CHTR@149.88 / LONG ZBRA@367.31 / LONG AMZN@276.57 / LONG ORCL@144.50 / LONG FSLR@236.58 / LONG GOOGL@380.67 / LONG GOOG@378.35 / LONG CRWD@212.99 / LONG MSFT@489.75 / LONG TER@394.68 / LONG MRVL@215.63 / LONG APH@173.66 / LONG WDC@553.59 / LONG COHR@336.00 / LONG LITE@845.97
2026-08-05 13:24 ET,OFFEN,771.38,1607.46,9313.82,10275.20,LONG GRMN@303.40 / LONG WTW@338.42 / LONG CHTR@152.18 / LONG ZBRA@371.65 / LONG ORCL@144.26 / LONG FSLR@237.20 / LONG CRWD@212.80 / LONG TER@392.91 / LONG MRVL@214.45 / LONG WDC@548.28 / LONG COHR@334.33 / LONG PLTR@159.39 / LONG SNDK@1417.87 / LONG INTC@101.85 / LONG DELL@476.41
2026-08-05 15:21 ET,OFFEN,771.70,1441.28,9278.92,10279.49,LONG GRMN@303.70 / LONG WTW@338.71 / LONG ZBRA@372.51 / LONG ORCL@144.62 / LONG FSLR@227.75 / LONG CRWD@212.00 / LONG TER@396.84 / LONG MRVL@214.73 / LONG WDC@537.67 / LONG COHR@334.48 / LONG PLTR@158.80 / LONG SNDK@1403.77 / LONG INTC@102.47 / LONG APH@173.66
2026-08-05 17:02 ET,NACH-SCHLUSS,773.63,1441.28,9313.51,10305.15,LONG GRMN@306.61 / LONG WTW@340.35 / LONG ZBRA@367.31 / LONG ORCL@144.48 / LONG FSLR@236.54 / LONG CRWD@213.12 / LONG TER@396.00 / LONG MRVL@215.69 / LONG WDC@552.54 / LONG COHR@335.55 / LONG PLTR@159.32 / LONG SNDK@1410.64 / LONG INTC@99.46 / LONG APH@173.66
2026-08-06 11:10 ET,OFFEN,770.61,2118.78,9251.53,10264.95,LONG WTW@337.27 / LONG ZBRA@369.87 / LONG FSLR@249.86 / LONG CRWD@206.96 / LONG TER@393.93 / LONG MRVL@218.12 / LONG WDC@473.18 / LONG COHR@347.04 / LONG PLTR@157.25 / LONG SNDK@1318.83 / LONG INTC@102.54 / LONG APH@172.95 / LONG DELL@449.61 / LONG VRT@281.83 / LONG MSFT@497.62 / LONG ANET@193.20 / LONG MU@912.05
2026-08-06 19:53 ET,NACH-SCHLUSS,770.63,2118.78,9249.68,10265.21,LONG WTW@337.61 / LONG ZBRA@369.19 / LONG FSLR@249.71 / LONG CRWD@207.08 / LONG TER@393.70 / LONG MRVL@218.06 / LONG WDC@472.84 / LONG COHR@346.96 / LONG PLTR@157.29 / LONG SNDK@1316.19 / LONG INTC@102.51 / LONG APH@172.86 / LONG DELL@449.88 / LONG VRT@281.96 / LONG MSFT@497.26 / LONG ANET@193.11 / LONG MU@912.58
2026-08-07 10:08 ET,OFFEN,770.77,1481.95,9212.98,10267.08,LONG CRWD@215.81 / LONG TER@376.29 / LONG INTC@99.38 / LONG APH@168.73 / LONG DELL@430.20 / LONG VRT@272.77 / LONG MSFT@502.11 / LONG ANET@191.61 / LONG MU@858.20 / LONG GNRC@212.89 / LONG LITE@890.39 / LONG LDOS@134.13 / LONG AMZN@275.15
2026-08-07 11:51 ET,OFFEN,773.60,818.59,9277.11,10304.84,LONG CRWD@212.72 / LONG TER@383.39 / LONG INTC@101.59 / LONG APH@167.73 / LONG DELL@442.26 / LONG VRT@278.77 / LONG MSFT@503.24 / LONG ANET@191.54 / LONG MU@876.32 / LONG GNRC@214.73 / LONG LITE@890.58 / LONG LDOS@135.68 / LONG AMZN@277.50 / LONG IT@187.55
2026-08-07 12:47 ET,OFFEN,772.53,855.38,9263.61,10290.52,LONG CRWD@212.65 / LONG TER@381.58 / LONG INTC@101.14 / LONG APH@167.36 / LONG DELL@447.24 / LONG VRT@276.13 / LONG MSFT@502.62 / LONG ANET@191.18 / LONG MU@868.68 / LONG GNRC@214.58 / LONG LITE@890.30 / LONG LDOS@136.70 / LONG AMZN@275.89 / LONG IT@187.74 / LONG PLTR@170.37
2026-08-07 13:43 ET,OFFEN,772.28,855.38,9256.45,10287.19,LONG CRWD@212.20 / LONG TER@381.15 / LONG INTC@100.97 / LONG APH@167.71 / LONG DELL@446.92 / LONG VRT@274.55 / LONG MSFT@499.67 / LONG ANET@191.30 / LONG MU@871.03 / LONG GNRC@214.25 / LONG LITE@886.50 / LONG LDOS@137.30 / LONG AMZN@274.29 / LONG IT@187.83 / LONG PLTR@171.34
2026-08-07 14:46 ET,OFFEN,771.00,855.38,9237.13,10270.14,LONG CRWD@212.06 / LONG TER@379.52 / LONG INTC@100.87 / LONG APH@168.13 / LONG DELL@449.74 / LONG VRT@273.61 / LONG MSFT@499.04 / LONG ANET@189.03 / LONG MU@869.04 / LONG GNRC@213.54 / LONG LITE@891.08 / LONG LDOS@137.47 / LONG AMZN@274.17 / LONG IT@185.84 / LONG PLTR@169.85
2026-08-07 15:48 ET,OFFEN,772.82,855.38,9230.31,10294.32,LONG CRWD@213.16 / LONG TER@373.81 / LONG INTC@100.77 / LONG APH@168.49 / LONG DELL@453.48 / LONG VRT@271.69 / LONG MSFT@501.28 / LONG ANET@188.50 / LONG MU@873.97 / LONG GNRC@211.96 / LONG LITE@885.28 / LONG LDOS@137.25 / LONG AMZN@274.41 / LONG IT@184.38 / LONG PLTR@171.35
2026-08-07 16:34 ET,NACH-SCHLUSS,770.77,855.38,9229.89,10267.01,LONG CRWD@215.74 / LONG TER@377.02 / LONG INTC@99.66 / LONG APH@169.23 / LONG DELL@431.91 / LONG VRT@273.20 / LONG MSFT@501.46 / LONG ANET@192.05 / LONG MU@859.11 / LONG GNRC@212.89 / LONG LITE@891.47 / LONG LDOS@134.10 / LONG AMZN@275.06 / LONG IT@191.98 / LONG PLTR@168.48
2026-08-07 17:33 ET,NACH-SCHLUSS,770.77,855.38,9229.89,10267.01,LONG CRWD@215.74 / LONG TER@377.02 / LONG INTC@99.66 / LONG APH@169.23 / LONG DELL@431.91 / LONG VRT@273.20 / LONG MSFT@501.46 / LONG ANET@192.05 / LONG MU@859.11 / LONG GNRC@212.89 / LONG LITE@891.47 / LONG LDOS@134.10 / LONG AMZN@275.06 / LONG IT@191.98 / LONG PLTR@168.48
2026-08-10 10:17 ET,OFFEN,774.14,444.19,9335.19,10311.97,LONG TER@373.38 / LONG INTC@98.06 / LONG APH@170.92 / LONG DELL@471.77 / LONG MSFT@508.89 / LONG ANET@193.98 / LONG MU@884.47 / LONG GNRC@212.13 / LONG LITE@861.80 / LONG LDOS@138.32 / LONG AMZN@276.89 / LONG IT@187.96 / LONG PLTR@176.18 / LONG NEM@114.55 / LONG ZBRA@378.96 / LONG PSKY@9.16
2026-08-10 11:54 ET,OFFEN,774.17,860.81,9342.52,10312.37,LONG TER@370.04 / LONG APH@170.63 / LONG MSFT@510.14 / LONG ANET@191.70 / LONG MU@879.89 / LONG GNRC@210.10 / LONG LITE@842.13 / LONG LDOS@140.34 / LONG AMZN@279.83 / LONG IT@190.15 / LONG PLTR@179.26 / LONG NEM@116.10 / LONG ZBRA@379.60 / LONG PSKY@9.06 / LONG QCOM@164.47 / LONG SWKS@69.83 / LONG COHR@338.83
2026-08-10 12:48 ET,OFFEN,772.43,860.81,9294.35,10289.23,LONG TER@367.80 / LONG APH@168.92 / LONG MSFT@507.24 / LONG ANET@191.09 / LONG MU@878.34 / LONG GNRC@209.91 / LONG LITE@827.78 / LONG LDOS@139.51 / LONG AMZN@277.26 / LONG IT@190.88 / LONG PLTR@176.85 / LONG NEM@115.69 / LONG ZBRA@377.04 / LONG PSKY@9.10 / LONG QCOM@164.00 / LONG SWKS@69.21 / LONG COHR@334.10
2026-08-10 13:46 ET,OFFEN,772.62,860.81,9305.91,10291.72,LONG TER@368.64 / LONG APH@169.19 / LONG MSFT@506.85 / LONG ANET@191.67 / LONG MU@879.32 / LONG GNRC@210.21 / LONG LITE@830.20 / LONG LDOS@138.73 / LONG AMZN@276.95 / LONG IT@192.38 / LONG PLTR@177.26 / LONG NEM@115.97 / LONG ZBRA@378.53 / LONG PSKY@9.11 / LONG QCOM@163.82 / LONG SWKS@69.25 / LONG COHR@334.13
2026-08-10 14:48 ET,OFFEN,772.92,1404.74,9306.10,10295.72,LONG TER@369.48 / LONG APH@169.22 / LONG ANET@191.24 / LONG MU@879.58 / LONG GNRC@210.48 / LONG LITE@827.84 / LONG LDOS@138.18 / LONG AMZN@276.76 / LONG IT@192.88 / LONG PLTR@175.60 / LONG NEM@116.36 / LONG ZBRA@378.77 / LONG PSKY@9.19 / LONG QCOM@163.80 / LONG SWKS@69.20 / LONG COHR@335.58
2026-08-10 15:51 ET,OFFEN,772.59,912.57,9287.97,10291.25,LONG TER@368.81 / LONG APH@168.59 / LONG ANET@191.66 / LONG MU@873.89 / LONG GNRC@207.77 / LONG LITE@818.67 / LONG LDOS@138.98 / LONG AMZN@277.43 / LONG IT@193.62 / LONG PLTR@175.01 / LONG NEM@117.55 / LONG ZBRA@379.54 / LONG PSKY@9.17 / LONG QCOM@163.03 / LONG SWKS@68.95 / LONG COHR@328.42 / LONG FSLR@239.79
2026-08-10 16:35 ET,NACH-SCHLUSS,774.15,912.57,9339.43,10312.10,LONG TER@373.86 / LONG APH@170.99 / LONG ANET@193.90 / LONG MU@885.72 / LONG GNRC@212.13 / LONG LITE@863.42 / LONG LDOS@138.32 / LONG AMZN@277.01 / LONG IT@188.00 / LONG PLTR@176.46 / LONG NEM@114.60 / LONG ZBRA@379.60 / LONG PSKY@9.15 / LONG QCOM@165.85 / LONG SWKS@69.83 / LONG COHR@348.27 / LONG FSLR@235.07
2026-08-10 17:36 ET,NACH-SCHLUSS,774.15,912.57,9339.43,10312.10,LONG TER@373.86 / LONG APH@170.99 / LONG ANET@193.90 / LONG MU@885.72 / LONG GNRC@212.13 / LONG LITE@863.42 / LONG LDOS@138.32 / LONG AMZN@277.01 / LONG IT@188.00 / LONG PLTR@176.46 / LONG NEM@114.60 / LONG ZBRA@379.60 / LONG PSKY@9.15 / LONG QCOM@165.85 / LONG SWKS@69.83 / LONG COHR@348.27 / LONG FSLR@235.07
2026-08-11 10:16 ET,OFFEN,773.86,1199.53,9353.50,10308.24,LONG APH@171.96 / LONG ANET@197.33 / LONG GNRC@216.18 / LONG LITE@803.50 / LONG IT@188.60 / LONG PLTR@175.82 / LONG NEM@117.20 / LONG ZBRA@383.45 / LONG PSKY@9.21 / LONG QCOM@164.19 / LONG SWKS@70.05 / LONG COHR@328.86 / LONG FSLR@244.41 / LONG SMCI@32.08
2026-08-11 11:55 ET,OFFEN,771.89,1082.29,9294.85,10282.00,LONG APH@169.90 / LONG ANET@194.87 / LONG GNRC@214.89 / LONG IT@187.76 / LONG NEM@116.85 / LONG ZBRA@380.36 / LONG PSKY@9.26 / LONG QCOM@163.08 / LONG SWKS@68.84 / LONG COHR@327.30 / LONG FSLR@241.76 / LONG SMCI@31.50
2026-08-11 12:53 ET,OFFEN,771.36,1853.42,9274.48,10274.94,LONG ANET@195.84 / LONG GNRC@214.37 / LONG IT@187.79 / LONG NEM@116.56 / LONG ZBRA@380.45 / LONG PSKY@9.23 / LONG QCOM@161.98 / LONG SWKS@68.08 / LONG COHR@326.91 / LONG FSLR@240.66 / LONG SMCI@31.53
2026-08-11 13:53 ET,OFFEN,771.22,2239.37,9271.73,10273.07,LONG ANET@196.45 / LONG GNRC@215.26 / LONG IT@187.67 / LONG NEM@116.53 / LONG ZBRA@382.12 / LONG PSKY@9.19 / LONG QCOM@162.22 / LONG SWKS@68.15 / LONG COHR@326.96 / LONG FSLR@239.35 / LONG SMCI@31.26 / SHORT APP@321.20
2026-08-11 14:54 ET,OFFEN,770.39,2239.37,9286.04,10262.02,LONG ANET@194.93 / LONG GNRC@213.99 / LONG IT@186.97 / LONG NEM@116.88 / LONG ZBRA@383.82 / LONG PSKY@9.27 / LONG QCOM@162.60 / LONG SWKS@68.14 / LONG COHR@331.47 / LONG FSLR@241.04 / LONG SMCI@31.13 / SHORT APP@319.75
2026-08-11 15:58 ET,OFFEN,770.19,2239.37,9316.65,10259.35,LONG ANET@197.25 / LONG GNRC@216.00 / LONG IT@186.57 / LONG NEM@117.08 / LONG ZBRA@382.97 / LONG PSKY@9.39 / LONG QCOM@162.63 / LONG SWKS@68.37 / LONG COHR@329.02 / LONG FSLR@241.11 / LONG SMCI@31.69 / SHORT APP@318.79
2026-08-11 16:46 ET,NACH-SCHLUSS,773.89,2239.37,9342.28,10308.64,LONG ANET@197.58 / LONG GNRC@216.18 / LONG IT@188.60 / LONG NEM@117.08 / LONG ZBRA@382.81 / LONG PSKY@9.21 / LONG QCOM@164.12 / LONG SWKS@69.99 / LONG COHR@329.43 / LONG FSLR@244.41 / LONG SMCI@32.03 / SHORT APP@322.57
2026-08-11 17:40 ET,NACH-SCHLUSS,773.89,2239.37,9342.28,10308.64,LONG ANET@197.58 / LONG GNRC@216.18 / LONG IT@188.60 / LONG NEM@117.08 / LONG ZBRA@382.81 / LONG PSKY@9.21 / LONG QCOM@164.12 / LONG SWKS@69.99 / LONG COHR@329.43 / LONG FSLR@244.41 / LONG SMCI@32.03 / SHORT APP@322.57
2026-08-12 10:18 ET,OFFEN,772.75,1876.86,9420.48,10293.45,LONG ANET@206.60 / LONG NEM@119.91 / LONG PSKY@9.43 / LONG SWKS@67.89 / LONG SMCI@36.14 / SHORT APP@314.18 / LONG UBER@77.19 / LONG ABNB@180.29 / LONG LLY@1207.29
2026-08-12 11:54 ET,OFFEN,772.07,1876.86,9408.70,10284.39,LONG ANET@207.46 / LONG NEM@118.88 / LONG PSKY@9.40 / LONG SWKS@67.68 / LONG SMCI@36.22 / SHORT APP@310.94 / LONG UBER@75.48 / LONG ABNB@180.26 / LONG LLY@1224.30
