Zeitstempel,Marktstatus,SPY_mark,Cash,Depotwert,Benchmark,Positionen
2026-07-23 15:06 ET,OFFEN,736.80,7206.64,10295.57,9814.58,LONG TRV@377.08 / LONG LITE@835.17 / LONG ABT@100.89 / SHORT CVNA@59.81 / LONG EQT@53.56 / LONG TER@368.59 / SHORT CDNS@331.54 / SHORT AXON@489.59 / SHORT SNPS@372.25 / LONG CF@126.26 / LONG STX@919.45 / SHORT PTC@113.18 / LONG SMCI@30.92 / LONG WAB@295.58
2026-07-23 16:56 ET,NACH-SCHLUSS,747.41,7206.64,10268.09,9955.91,LONG TRV@377.74 / LONG LITE@844.13 / LONG ABT@100.57 / SHORT CVNA@62.75 / LONG EQT@54.01 / LONG TER@370.39 / SHORT CDNS@337.01 / SHORT AXON@491.49 / SHORT SNPS@373.73 / LONG CF@127.35 / LONG STX@918.75 / SHORT PTC@113.39 / LONG SMCI@31.08 / LONG WAB@297.03
2026-07-23 18:02 ET,NACH-SCHLUSS,747.41,7206.64,10268.09,9955.91,LONG TRV@377.74 / LONG LITE@844.13 / LONG ABT@100.57 / SHORT CVNA@62.75 / LONG EQT@54.01 / LONG TER@370.39 / SHORT CDNS@337.01 / SHORT AXON@491.49 / SHORT SNPS@373.73 / LONG CF@127.35 / LONG STX@918.75 / SHORT PTC@113.39 / LONG SMCI@31.08 / LONG WAB@297.03
2026-07-24 05:29 ET,VORBÖRSLICH,738.18,7206.17,10302.12,9832.96,LONG TRV@376.37 / LONG LITE@833.64 / LONG ABT@100.75 / SHORT CVNA@60.19 / LONG EQT@53.39 / LONG TER@373.75 / SHORT CDNS@330.46 / SHORT AXON@491.90 / SHORT SNPS@373.52 / LONG CF@126.71 / LONG STX@913.36 / SHORT PTC@113.05 / LONG SMCI@31.20 / LONG WAB@297.99
2026-07-24 10:50 ET,OFFEN,738.25,8378.32,10176.14,9833.89,LONG TRV@385.01 / LONG LITE@774.60 / SHORT CVNA@59.64 / LONG EQT@54.19 / SHORT CDNS@328.67 / LONG CF@125.47 / SHORT PTC@116.57 / LONG SMCI@29.88 / LONG MU@923.86 / LONG COHR@286.07 / LONG ALLE@154.52 / SHORT TSLA@312.75 / LONG SNDK@1460.22 / LONG DELL@443.13 / SHORT WDAY@132.73 / SHORT ISRG@338.60 / SHORT ROL@38.49
2026-07-24 12:34 ET,OFFEN,742.51,6851.94,10198.41,9890.64,LONG TRV@386.47 / LONG LITE@777.15 / SHORT CVNA@60.59 / LONG EQT@53.31 / LONG CF@124.27 / SHORT PTC@118.18 / LONG SMCI@31.20 / LONG MU@941.72 / LONG COHR@289.66 / LONG ALLE@154.79 / SHORT TSLA@310.20 / LONG DELL@448.95 / SHORT WDAY@134.05 / SHORT ROL@38.87 / LONG MRVL@198.70
2026-07-24 14:14 ET,OFFEN,740.68,6844.86,10148.68,9866.26,LONG TRV@386.19 / LONG LITE@767.92 / SHORT CVNA@60.52 / LONG EQT@53.15 / LONG CF@124.40 / SHORT PTC@117.87 / LONG SMCI@30.48 / LONG MU@924.79 / LONG COHR@288.07 / LONG ALLE@154.32 / SHORT TSLA@308.52 / LONG DELL@445.34 / SHORT WDAY@134.59 / SHORT ROL@38.57 / LONG SNDK@1461.16
2026-07-24 16:15 ET,NACH-SCHLUSS,738.18,6844.86,10412.39,9832.96,LONG TRV@376.37 / LONG LITE@833.64 / SHORT CVNA@60.19 / LONG EQT@53.39 / LONG CF@126.71 / SHORT PTC@113.05 / LONG SMCI@31.20 / LONG MU@990.21 / LONG COHR@313.22 / LONG ALLE@154.57 / SHORT TSLA@319.69 / LONG DELL@439.34 / SHORT WDAY@127.87 / SHORT ROL@39.44 / LONG SNDK@1610.33
2026-07-24 18:00 ET,NACH-SCHLUSS,738.18,6844.86,10412.39,9832.96,LONG TRV@376.37 / LONG LITE@833.64 / SHORT CVNA@60.19 / LONG EQT@53.39 / LONG CF@126.71 / SHORT PTC@113.05 / LONG SMCI@31.20 / LONG MU@990.21 / LONG COHR@313.22 / LONG ALLE@154.57 / SHORT TSLA@319.69 / LONG DELL@439.34 / SHORT WDAY@127.87 / SHORT ROL@39.44 / LONG SNDK@1610.33
2026-07-27 11:39 ET,OFFEN,737.02,3502.57,9646.29,9817.51,LONG TRV@390.65 / LONG LITE@701.95 / LONG EQT@52.38 / LONG CF@120.67 / SHORT PTC@124.22 / LONG SMCI@28.80 / LONG MU@866.82 / LONG COHR@257.79 / LONG ALLE@156.43 / SHORT TSLA@308.28 / LONG DELL@418.74 / SHORT WDAY@147.76 / LONG SNDK@1263.51 / LONG WDC@482.34 / LONG STX@791.34 / LONG DLR@193.87 / LONG LMT@581.99 / LONG HON@243.56 / LONG WAB@294.48 / LONG MRVL@184.37 / SHORT CHRW@177.18 / LONG FIX@1663.21
2026-07-27 13:38 ET,OFFEN,736.89,1130.20,9678.68,9815.78,LONG TRV@390.03 / LONG LITE@704.46 / LONG EQT@52.62 / LONG CF@121.02 / SHORT PTC@125.36 / LONG SMCI@29.07 / LONG MU@872.80 / LONG COHR@258.96 / LONG ALLE@156.07 / LONG DELL@422.01 / LONG SNDK@1259.87 / LONG WDC@489.87 / LONG STX@803.01 / LONG DLR@193.49 / LONG LMT@582.00 / LONG HON@243.65 / LONG WAB@296.15 / LONG MRVL@186.10 / SHORT CHRW@175.80 / LONG FIX@1688.67 / LONG T@24.49 / LONG PKG@250.81 / LONG SLB@52.38 / LONG RTX@218.98
2026-07-27 15:19 ET,OFFEN,739.40,1572.76,9769.11,9849.21,LONG TRV@390.39 / LONG LITE@719.40 / LONG EQT@52.03 / LONG CF@121.08 / SHORT PTC@124.76 / LONG SMCI@29.50 / LONG MU@894.28 / LONG COHR@266.56 / LONG ALLE@157.86 / LONG DELL@424.23 / LONG WDC@498.55 / LONG STX@818.22 / LONG DLR@194.77 / LONG LMT@582.91 / LONG HON@244.59 / LONG WAB@299.05 / LONG MRVL@189.48 / SHORT CHRW@174.90 / LONG FIX@1718.11 / LONG T@24.35 / LONG PKG@252.83 / LONG SLB@51.83 / LONG RTX@220.11
2026-07-27 17:05 ET,NACH-SCHLUSS,736.97,1572.76,9641.00,9816.84,LONG TRV@390.68 / LONG LITE@701.54 / LONG EQT@52.40 / LONG CF@120.67 / SHORT PTC@124.22 / LONG SMCI@28.80 / LONG MU@866.67 / LONG COHR@257.89 / LONG ALLE@156.52 / LONG DELL@418.39 / LONG WDC@482.07 / LONG STX@791.38 / LONG DLR@193.87 / LONG LMT@581.99 / LONG HON@243.54 / LONG WAB@294.48 / LONG MRVL@184.04 / SHORT CHRW@177.18 / LONG FIX@1663.22 / LONG T@24.41 / LONG PKG@250.99 / LONG SLB@52.46 / LONG RTX@217.98
2026-07-28 03:44 ET,VORBÖRSLICH,739.09,1572.66,9778.98,9845.08,LONG TRV@390.35 / LONG LITE@711.96 / LONG EQT@52.00 / LONG CF@119.78 / SHORT PTC@125.21 / LONG SMCI@29.81 / LONG MU@900.20 / LONG COHR@271.31 / LONG ALLE@158.14 / LONG DELL@426.91 / LONG WDC@497.92 / LONG STX@816.99 / LONG DLR@195.76 / LONG LMT@580.00 / LONG HON@245.75 / LONG WAB@300.90 / LONG MRVL@189.17 / SHORT CHRW@174.46 / LONG FIX@1730.42 / LONG T@24.42 / LONG PKG@252.37 / LONG SLB@51.53 / LONG RTX@218.42
2026-07-28 11:15 ET,OFFEN,739.60,6515.90,9388.86,9851.88,LONG TRV@398.33 / LONG EQT@51.79 / LONG SMCI@27.87 / SHORT COHR@234.09 / LONG ALLE@162.43 / LONG DLR@195.68 / LONG LMT@579.89 / LONG HON@247.26 / LONG WAB@302.12 / SHORT CHRW@171.61 / LONG T@24.83 / LONG PKG@255.87 / LONG SLB@51.25 / LONG RTX@216.83 / LONG BKR@58.74 / LONG IP@44.46 / LONG SW@51.46 / LONG GM@89.60 / LONG DGX@237.04
2026-07-28 13:22 ET,OFFEN,741.45,7020.79,9366.87,9876.52,LONG TRV@395.36 / LONG EQT@51.43 / LONG SMCI@28.41 / SHORT COHR@242.24 / LONG ALLE@161.80 / LONG DLR@195.06 / LONG LMT@577.29 / LONG HON@248.15 / LONG WAB@304.96 / SHORT CHRW@169.97 / LONG T@24.78 / LONG PKG@254.38 / LONG RTX@217.12 / LONG BKR@57.97 / LONG IP@44.08 / LONG SW@51.44 / LONG GM@90.24 / LONG DGX@236.79 / LONG DELL@384.31 / SHORT TSLA@307.00 / LONG URI@1112.15
2026-07-28 15:15 ET,OFFEN,741.41,6344.39,9360.00,9875.99,LONG TRV@397.07 / LONG EQT@51.49 / LONG SMCI@28.41 / SHORT COHR@243.43 / LONG ALLE@160.70 / LONG DLR@195.45 / LONG LMT@581.73 / LONG HON@247.98 / LONG WAB@304.20 / SHORT CHRW@170.96 / LONG T@24.70 / LONG PKG@252.89 / LONG RTX@217.50 / LONG BKR@58.28 / LONG IP@43.89 / LONG SW@51.03 / LONG GM@89.73 / LONG DGX@235.70 / LONG DELL@390.43 / LONG URI@1101.92 / LONG HPQ@28.23
2026-07-28 17:03 ET,NACH-SCHLUSS,739.09,6344.39,9302.47,9845.08,LONG TRV@390.35 / LONG EQT@52.00 / LONG SMCI@29.81 / SHORT COHR@271.31 / LONG ALLE@158.14 / LONG DLR@195.76 / LONG LMT@580.00 / LONG HON@245.75 / LONG WAB@300.90 / SHORT CHRW@174.46 / LONG T@24.42 / LONG PKG@252.37 / LONG RTX@218.42 / LONG BKR@60.59 / LONG IP@42.41 / LONG SW@51.45 / LONG GM@87.04 / LONG DGX@231.84 / LONG DELL@426.91 / LONG URI@1122.18 / LONG HPQ@26.55
2026-07-29 11:06 ET,OFFEN,734.94,6975.33,9339.58,9789.80,LONG TRV@394.05 / LONG EQT@52.74 / SHORT COHR@228.41 / LONG ALLE@157.40 / LONG DLR@186.63 / LONG HON@242.43 / LONG WAB@296.22 / SHORT CHRW@165.95 / LONG T@24.42 / LONG PKG@249.89 / LONG RTX@216.29 / LONG BKR@59.72 / LONG IP@42.89 / LONG SW@47.73 / LONG GM@90.55 / LONG DGX@234.70 / LONG URI@1075.26 / LONG HPQ@28.52 / LONG TRMB@58.16 / SHORT SNDK@1022.55 / LONG NUE@257.69
2026-07-29 13:09 ET,OFFEN,735.46,6769.05,9332.78,9796.73,LONG TRV@394.19 / LONG EQT@52.79 / SHORT COHR@225.18 / LONG ALLE@157.46 / LONG DLR@187.46 / LONG HON@241.98 / LONG WAB@295.18 / SHORT CHRW@166.33 / LONG T@24.41 / LONG PKG@248.46 / LONG RTX@218.02 / LONG BKR@59.87 / LONG IP@42.83 / LONG SW@47.85 / LONG GM@89.85 / LONG DGX@234.95 / LONG URI@1071.48 / LONG HPQ@28.54 / LONG TRMB@58.43 / LONG NUE@255.63 / LONG SMCI@26.78 / SHORT IFX.DE@54.40
2026-07-29 15:05 ET,OFFEN,740.20,6769.05,9322.37,9859.87,LONG TRV@392.03 / LONG EQT@52.65 / SHORT COHR@233.10 / LONG ALLE@158.04 / LONG DLR@190.35 / LONG HON@243.77 / LONG WAB@296.78 / SHORT CHRW@171.07 / LONG T@23.67 / LONG PKG@248.81 / LONG RTX@218.70 / LONG BKR@60.26 / LONG IP@43.10 / LONG SW@48.28 / LONG GM@90.98 / LONG DGX@235.51 / LONG URI@1074.96 / LONG HPQ@28.76 / LONG TRMB@58.90 / LONG NUE@257.93 / LONG SMCI@27.31 / SHORT IFX.DE@54.40
2026-07-29 16:48 ET,NACH-SCHLUSS,735.01,6769.05,9331.51,9790.73,LONG TRV@394.05 / LONG EQT@52.80 / SHORT COHR@228.41 / LONG ALLE@157.47 / LONG DLR@186.63 / LONG HON@242.43 / LONG WAB@296.22 / SHORT CHRW@165.74 / LONG T@24.42 / LONG PKG@249.89 / LONG RTX@216.20 / LONG BKR@59.73 / LONG IP@42.91 / LONG SW@47.74 / LONG GM@90.56 / LONG DGX@234.70 / LONG URI@1075.26 / LONG HPQ@28.55 / LONG TRMB@58.43 / LONG NUE@257.65 / LONG SMCI@27.04 / SHORT IFX.DE@54.61
2026-07-29 17:55 ET,NACH-SCHLUSS,735.01,6769.05,9331.51,9790.73,LONG TRV@394.05 / LONG EQT@52.80 / SHORT COHR@228.41 / LONG ALLE@157.47 / LONG DLR@186.63 / LONG HON@242.43 / LONG WAB@296.22 / SHORT CHRW@165.74 / LONG T@24.42 / LONG PKG@249.89 / LONG RTX@216.20 / LONG BKR@59.73 / LONG IP@42.91 / LONG SW@47.74 / LONG GM@90.56 / LONG DGX@234.70 / LONG URI@1075.26 / LONG HPQ@28.55 / LONG TRMB@58.43 / LONG NUE@257.65 / LONG SMCI@27.04 / SHORT IFX.DE@54.61
2026-07-30 05:10 ET,VORBÖRSLICH,729.46,6768.89,9291.83,9716.81,LONG TRV@389.01 / LONG EQT@52.57 / SHORT COHR@222.05 / LONG ALLE@158.47 / LONG DLR@188.18 / LONG HON@241.12 / LONG WAB@291.76 / SHORT CHRW@173.75 / LONG T@23.94 / LONG PKG@249.43 / LONG RTX@215.25 / LONG BKR@58.72 / LONG IP@42.64 / LONG SW@48.26 / LONG GM@89.40 / LONG DGX@235.22 / LONG URI@1055.11 / LONG HPQ@28.41 / LONG TRMB@58.24 / LONG NUE@256.02 / LONG SMCI@25.70 / SHORT IFX.DE@54.48
2026-07-30 11:07 ET,OFFEN,735.70,9972.51,9216.84,9799.93,LONG ALLE@153.74 / LONG DLR@192.02 / LONG HON@237.83 / LONG T@23.22 / LONG PKG@245.62 / LONG SW@47.26 / LONG TRMB@55.87 / LONG ACN@162.18 / LONG GRMN@289.65 / SHORT TSLA@305.49
2026-07-30 13:20 ET,OFFEN,740.05,9044.31,9213.98,9857.87,LONG ALLE@155.36 / LONG DLR@193.95 / LONG HON@240.07 / LONG T@23.22 / LONG PKG@245.57 / LONG SW@47.15 / LONG TRMB@56.70 / LONG ACN@163.34 / LONG GRMN@290.64
